Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
15/05/2025,NYSE American Options (A)," 2,555,692.00 "," 277,673.00 "," 897,908,003.00 ", -   , -   , -   ," 2,555,692.00 "," 277,673.00 "," 897,908,003.00 "
15/05/2025,BOX Options (B)," 5,174,128.00 "," 358,321.00 "," 6,624,728,599.00 ", -   , -   , -   ," 5,174,128.00 "," 358,321.00 "," 6,624,728,599.00 "
15/05/2025,Cboe Options Exchange (C)," 4,709,916.00 "," 758,194.00 "," 2,201,028,917.00 "," 4,831,263.00 "," 971,974.00 "," 13,746,248,608.00 "," 9,541,179.00 "," 1,730,168.00 "," 15,947,277,525.00 "
15/05/2025,MIAX Emerald (D)," 2,430,677.00 "," 432,972.00 "," 757,912,536.00 ", -   , -   , -   ," 2,430,677.00 "," 432,972.00 "," 757,912,536.00 "
15/05/2025,Cboe EDGX Options Exchange (E)," 3,793,062.00 "," 559,623.00 "," 1,096,687,251.00 ", -   , -   , -   ," 3,793,062.00 "," 559,623.00 "," 1,096,687,251.00 "
15/05/2025,Nasdaq GEMX (H)," 2,010,821.00 "," 242,170.00 "," 484,813,965.00 "," 1,997.00 "," 1,118.00 "," 430,851,058.00 "," 2,012,818.00 "," 243,288.00 "," 915,665,023.00 "
15/05/2025,Nasdaq ISE (I)," 3,499,759.00 "," 490,935.00 "," 2,253,570,410.50 "," 44,645.00 "," 13,617.00 "," 763,014,755.00 "," 3,544,404.00 "," 504,552.00 "," 3,016,585,165.50 "
15/05/2025,Nasdaq MRX (J)," 1,706,959.00 "," 230,859.00 "," 494,621,051.00 ", -   , -   , -   ," 1,706,959.00 "," 230,859.00 "," 494,621,051.00 "
15/05/2025,MIAX Options Exchange (M)," 4,319,685.00 "," 697,653.00 "," 1,421,809,106.00 ", -   , -   , -   ," 4,319,685.00 "," 697,653.00 "," 1,421,809,106.00 "
15/05/2025,NYSE Arca Options (N)," 6,245,807.00 "," 838,068.00 "," 2,751,856,218.00 ", -   , -   , -   ," 6,245,807.00 "," 838,068.00 "," 2,751,856,218.00 "
15/05/2025,MIAX Pearl (P)," 830,749.00 "," 105,278.00 "," 178,676,698.00 ", -   , -   , -   ," 830,749.00 "," 105,278.00 "," 178,676,698.00 "
15/05/2025,NASDAQ Options Market (Q)," 2,481,133.00 "," 356,155.00 "," 840,542,488.00 ", -   , -   , -   ," 2,481,133.00 "," 356,155.00 "," 840,542,488.00 "
15/05/2025,MIAX Sapphire (S)," 1,796,075.00 "," 238,604.00 "," 512,678,623.00 ", -   , -   , -   ," 1,796,075.00 "," 238,604.00 "," 512,678,623.00 "
15/05/2025,Nasdaq BX Options (T)," 886,143.00 "," 101,776.00 "," 174,229,713.00 ", -   , -   , -   ," 886,143.00 "," 101,776.00 "," 174,229,713.00 "
15/05/2025,Members Exchange (U)," 1,918,872.00 "," 266,913.00 "," 502,028,124.00 ", -   , -   , -   ," 1,918,872.00 "," 266,913.00 "," 502,028,124.00 "
15/05/2025,Cboe C2 Options Exchange (W)," 1,724,262.00 "," 205,153.00 "," 427,767,850.00 "," 8,880.00 "," 2,369.00 "," 27,224,513.00 "," 1,733,142.00 "," 207,522.00 "," 454,992,363.00 "
15/05/2025,Nasdaq PHLX (X)," 5,967,310.00 "," 460,841.00 "," 5,064,315,302.00 "," 79,784.00 "," 17,044.00 "," 807,969,138.00 "," 6,047,094.00 "," 477,885.00 "," 5,872,284,440.00 "
15/05/2025,Cboe BZX Options Exchange (Z)," 2,093,530.00 "," 292,117.00 "," 755,699,808.00 "," 2,184.00 ", 461.00 ," 15,929,942.00 "," 2,095,714.00 "," 292,578.00 "," 771,629,750.00 "
14/05/2025,NYSE American Options (A)," 2,878,046.00 "," 287,429.00 "," 902,806,498.00 ", -   , -   , -   ," 2,878,046.00 "," 287,429.00 "," 902,806,498.00 "
14/05/2025,BOX Options (B)," 4,356,581.00 "," 366,481.00 "," 4,195,818,971.00 ", -   , -   , -   ," 4,356,581.00 "," 366,481.00 "," 4,195,818,971.00 "
14/05/2025,Cboe Options Exchange (C)," 4,978,322.00 "," 818,020.00 "," 2,280,464,406.00 "," 4,357,547.00 "," 926,524.00 "," 12,002,401,736.00 "," 9,335,869.00 "," 1,744,544.00 "," 14,282,866,142.00 "
14/05/2025,MIAX Emerald (D)," 2,464,921.00 "," 424,583.00 "," 821,733,640.00 ", -   , -   , -   ," 2,464,921.00 "," 424,583.00 "," 821,733,640.00 "
14/05/2025,Cboe EDGX Options Exchange (E)," 3,940,930.00 "," 582,834.00 "," 1,125,561,199.00 ", -   , -   , -   ," 3,940,930.00 "," 582,834.00 "," 1,125,561,199.00 "
14/05/2025,Nasdaq GEMX (H)," 2,124,227.00 "," 254,646.00 "," 527,761,738.00 "," 1,092.00 ", 648.00 ," 36,586,955.00 "," 2,125,319.00 "," 255,294.00 "," 564,348,693.00 "
14/05/2025,Nasdaq ISE (I)," 3,489,510.00 "," 529,539.00 "," 1,789,920,872.00 "," 24,660.00 "," 10,676.00 "," 381,737,341.00 "," 3,514,170.00 "," 540,215.00 "," 2,171,658,213.00 "
14/05/2025,Nasdaq MRX (J)," 1,618,637.00 "," 232,253.00 "," 512,259,294.00 ", -   , -   , -   ," 1,618,637.00 "," 232,253.00 "," 512,259,294.00 "
14/05/2025,MIAX Options Exchange (M)," 4,267,981.00 "," 723,697.00 "," 1,450,919,372.00 ", -   , -   , -   ," 4,267,981.00 "," 723,697.00 "," 1,450,919,372.00 "
14/05/2025,NYSE Arca Options (N)," 6,789,810.00 "," 913,118.00 "," 2,983,205,941.00 ", -   , -   , -   ," 6,789,810.00 "," 913,118.00 "," 2,983,205,941.00 "
14/05/2025,MIAX Pearl (P)," 856,835.00 "," 112,042.00 "," 196,992,014.00 ", -   , -   , -   ," 856,835.00 "," 112,042.00 "," 196,992,014.00 "
14/05/2025,NASDAQ Options Market (Q)," 2,719,267.00 "," 381,778.00 "," 977,552,257.00 ", -   , -   , -   ," 2,719,267.00 "," 381,778.00 "," 977,552,257.00 "
14/05/2025,MIAX Sapphire (S)," 1,808,245.00 "," 252,098.00 "," 626,174,531.00 ", -   , -   , -   ," 1,808,245.00 "," 252,098.00 "," 626,174,531.00 "
14/05/2025,Nasdaq BX Options (T)," 887,767.00 "," 105,380.00 "," 220,085,924.00 ", -   , -   , -   ," 887,767.00 "," 105,380.00 "," 220,085,924.00 "
14/05/2025,Members Exchange (U)," 1,996,038.00 "," 273,010.00 "," 551,027,442.00 ", -   , -   , -   ," 1,996,038.00 "," 273,010.00 "," 551,027,442.00 "
14/05/2025,Cboe C2 Options Exchange (W)," 1,640,573.00 "," 211,123.00 "," 504,628,855.00 "," 7,781.00 "," 2,350.00 "," 16,618,072.00 "," 1,648,354.00 "," 213,473.00 "," 521,246,927.00 "
14/05/2025,Nasdaq PHLX (X)," 5,908,522.00 "," 478,981.00 "," 4,933,691,272.00 "," 38,002.00 "," 14,448.00 "," 412,167,303.00 "," 5,946,524.00 "," 493,429.00 "," 5,345,858,575.00 "
14/05/2025,Cboe BZX Options Exchange (Z)," 2,311,521.00 "," 319,400.00 "," 860,621,824.50 "," 1,917.00 ", 654.00 ," 6,018,321.00 "," 2,313,438.00 "," 320,054.00 "," 866,640,145.50 "
13/05/2025,NYSE American Options (A)," 3,792,830.00 "," 314,807.00 "," 1,564,372,047.00 ", -   , -   , -   ," 3,792,830.00 "," 314,807.00 "," 1,564,372,047.00 "
13/05/2025,BOX Options (B)," 4,124,934.00 "," 401,777.00 "," 2,089,630,092.00 ", -   , -   , -   ," 4,124,934.00 "," 401,777.00 "," 2,089,630,092.00 "
13/05/2025,Cboe Options Exchange (C)," 6,157,958.00 "," 919,318.00 "," 3,330,859,464.00 "," 5,334,498.00 "," 982,314.00 "," 13,067,747,268.00 "," 11,492,456.00 "," 1,901,632.00 "," 16,398,606,732.00 "
13/05/2025,MIAX Emerald (D)," 2,428,234.00 "," 418,905.00 "," 874,103,899.00 ", -   , -   , -   ," 2,428,234.00 "," 418,905.00 "," 874,103,899.00 "
13/05/2025,Cboe EDGX Options Exchange (E)," 4,756,474.00 "," 651,303.00 "," 1,595,839,264.00 ", -   , -   , -   ," 4,756,474.00 "," 651,303.00 "," 1,595,839,264.00 "
13/05/2025,Nasdaq GEMX (H)," 2,378,286.00 "," 276,158.00 "," 649,712,361.00 ", 689.00 , 228.00 ," 8,540,446.00 "," 2,378,975.00 "," 276,386.00 "," 658,252,807.00 "
13/05/2025,Nasdaq ISE (I)," 4,206,205.00 "," 604,238.00 "," 2,029,190,552.50 "," 37,995.00 "," 13,611.00 "," 389,426,395.00 "," 4,244,200.00 "," 617,849.00 "," 2,418,616,947.50 "
13/05/2025,Nasdaq MRX (J)," 1,945,553.00 "," 262,169.00 "," 658,372,050.00 ", -   , -   , -   ," 1,945,553.00 "," 262,169.00 "," 658,372,050.00 "
13/05/2025,MIAX Options Exchange (M)," 5,057,889.00 "," 806,344.00 "," 1,875,099,033.00 ", -   , -   , -   ," 5,057,889.00 "," 806,344.00 "," 1,875,099,033.00 "
13/05/2025,NYSE Arca Options (N)," 7,668,517.00 "," 970,568.00 "," 3,601,912,357.00 ", -   , -   , -   ," 7,668,517.00 "," 970,568.00 "," 3,601,912,357.00 "
13/05/2025,MIAX Pearl (P)," 1,343,473.00 "," 190,135.00 "," 356,579,899.00 ", -   , -   , -   ," 1,343,473.00 "," 190,135.00 "," 356,579,899.00 "
13/05/2025,NASDAQ Options Market (Q)," 2,932,482.00 "," 410,893.00 "," 1,082,488,150.00 ", -   , -   , -   ," 2,932,482.00 "," 410,893.00 "," 1,082,488,150.00 "
13/05/2025,MIAX Sapphire (S)," 2,070,104.00 "," 281,850.00 "," 686,237,195.00 ", -   , -   , -   ," 2,070,104.00 "," 281,850.00 "," 686,237,195.00 "
13/05/2025,Nasdaq BX Options (T)," 1,006,763.00 "," 117,063.00 "," 258,153,812.00 ", -   , -   , -   ," 1,006,763.00 "," 117,063.00 "," 258,153,812.00 "
13/05/2025,Members Exchange (U)," 2,179,791.00 "," 295,890.00 "," 638,845,919.00 ", -   , -   , -   ," 2,179,791.00 "," 295,890.00 "," 638,845,919.00 "
13/05/2025,Cboe C2 Options Exchange (W)," 1,866,017.00 "," 243,152.00 "," 625,591,290.00 "," 14,987.00 "," 2,540.00 "," 25,429,983.00 "," 1,881,004.00 "," 245,692.00 "," 651,021,273.00 "
13/05/2025,Nasdaq PHLX (X)," 5,457,513.00 "," 505,019.00 "," 2,157,253,336.00 "," 48,096.00 "," 16,515.00 "," 402,025,027.00 "," 5,505,609.00 "," 521,534.00 "," 2,559,278,363.00 "
13/05/2025,Cboe BZX Options Exchange (Z)," 2,503,748.00 "," 348,539.00 "," 963,216,273.00 "," 1,484.00 ", 566.00 ," 5,578,242.00 "," 2,505,232.00 "," 349,105.00 "," 968,794,515.00 "
12/05/2025,NYSE American Options (A)," 2,790,271.00 "," 308,442.00 "," 934,835,032.00 ", -   , -   , -   ," 2,790,271.00 "," 308,442.00 "," 934,835,032.00 "
12/05/2025,BOX Options (B)," 4,198,077.00 "," 483,003.00 "," 1,810,699,844.00 ", -   , -   , -   ," 4,198,077.00 "," 483,003.00 "," 1,810,699,844.00 "
12/05/2025,Cboe Options Exchange (C)," 5,711,538.00 "," 896,492.00 "," 2,345,795,661.00 "," 5,868,734.00 "," 979,515.00 "," 14,040,007,503.00 "," 11,580,272.00 "," 1,876,007.00 "," 16,385,803,164.00 "
12/05/2025,MIAX Emerald (D)," 2,319,799.00 "," 397,892.00 "," 797,984,783.00 ", -   , -   , -   ," 2,319,799.00 "," 397,892.00 "," 797,984,783.00 "
12/05/2025,Cboe EDGX Options Exchange (E)," 3,992,437.00 "," 633,852.00 "," 1,170,380,301.00 ", -   , -   , -   ," 3,992,437.00 "," 633,852.00 "," 1,170,380,301.00 "
12/05/2025,Nasdaq GEMX (H)," 2,413,552.00 "," 269,189.00 "," 620,459,309.00 ", 481.00 , 269.00 ," 13,464,385.00 "," 2,414,033.00 "," 269,458.00 "," 633,923,694.00 "
12/05/2025,Nasdaq ISE (I)," 4,266,337.00 "," 619,648.00 "," 1,923,099,224.00 "," 26,985.00 "," 11,480.00 "," 265,197,981.00 "," 4,293,322.00 "," 631,128.00 "," 2,188,297,205.00 "
12/05/2025,Nasdaq MRX (J)," 1,793,971.00 "," 237,827.00 "," 546,397,858.00 ", -   , -   , -   ," 1,793,971.00 "," 237,827.00 "," 546,397,858.00 "
12/05/2025,MIAX Options Exchange (M)," 4,855,017.00 "," 754,575.00 "," 1,634,606,877.00 ", -   , -   , -   ," 4,855,017.00 "," 754,575.00 "," 1,634,606,877.00 "
12/05/2025,NYSE Arca Options (N)," 7,497,633.00 "," 925,031.00 "," 3,015,136,015.00 ", -   , -   , -   ," 7,497,633.00 "," 925,031.00 "," 3,015,136,015.00 "
12/05/2025,MIAX Pearl (P)," 1,213,047.00 "," 164,007.00 "," 321,403,544.00 ", -   , -   , -   ," 1,213,047.00 "," 164,007.00 "," 321,403,544.00 "
12/05/2025,NASDAQ Options Market (Q)," 2,834,230.00 "," 394,096.00 "," 997,398,641.00 ", -   , -   , -   ," 2,834,230.00 "," 394,096.00 "," 997,398,641.00 "
12/05/2025,MIAX Sapphire (S)," 2,018,111.00 "," 281,632.00 "," 644,132,257.00 ", -   , -   , -   ," 2,018,111.00 "," 281,632.00 "," 644,132,257.00 "
12/05/2025,Nasdaq BX Options (T)," 950,407.00 "," 107,321.00 "," 244,370,310.00 ", -   , -   , -   ," 950,407.00 "," 107,321.00 "," 244,370,310.00 "
12/05/2025,Members Exchange (U)," 2,054,571.00 "," 283,752.00 "," 569,803,225.00 ", -   , -   , -   ," 2,054,571.00 "," 283,752.00 "," 569,803,225.00 "
12/05/2025,Cboe C2 Options Exchange (W)," 1,900,221.00 "," 237,474.00 "," 540,883,969.00 "," 12,390.00 "," 3,612.00 "," 24,062,063.00 "," 1,912,611.00 "," 241,086.00 "," 564,946,032.00 "
12/05/2025,Nasdaq PHLX (X)," 5,508,466.00 "," 495,435.00 "," 2,182,227,992.00 "," 37,353.00 "," 14,069.00 "," 379,913,819.00 "," 5,545,819.00 "," 509,504.00 "," 2,562,141,811.00 "
12/05/2025,Cboe BZX Options Exchange (Z)," 2,391,313.00 "," 321,804.00 "," 857,086,081.10 "," 2,356.00 ", 732.00 ," 6,522,588.00 "," 2,393,669.00 "," 322,536.00 "," 863,608,669.10 "
09/05/2025,NYSE American Options (A)," 2,609,484.00 "," 254,920.00 "," 727,661,791.00 ", -   , -   , -   ," 2,609,484.00 "," 254,920.00 "," 727,661,791.00 "
09/05/2025,BOX Options (B)," 3,769,119.00 "," 423,426.00 "," 1,275,028,120.00 ", -   , -   , -   ," 3,769,119.00 "," 423,426.00 "," 1,275,028,120.00 "
09/05/2025,Cboe Options Exchange (C)," 5,037,527.00 "," 731,154.00 "," 1,702,859,274.00 "," 3,899,206.00 "," 935,420.00 "," 6,992,159,360.00 "," 8,936,733.00 "," 1,666,574.00 "," 8,695,018,634.00 "
09/05/2025,MIAX Emerald (D)," 1,782,472.00 "," 306,464.00 "," 461,213,587.00 ", -   , -   , -   ," 1,782,472.00 "," 306,464.00 "," 461,213,587.00 "
09/05/2025,Cboe EDGX Options Exchange (E)," 4,195,860.00 "," 593,766.00 "," 787,956,966.00 ", -   , -   , -   ," 4,195,860.00 "," 593,766.00 "," 787,956,966.00 "
